level,latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s],u_norm,v_norm,w_norm,mag,mag_norm
1,32.76015,-97.63323,322.59189,5.25023,0.25396,0.01079,0.6822424590787475,0.1040503237871659,0.33898537566035747,5.256379662714633,0.12889395543681828
1,32.76018,-97.60131,298.84189,6.25023,1.81646,-0.05407,0.707299099614679,0.1429072705388495,0.3323462304989186,6.509057193588024,0.16134965415439376
1,32.76021,-97.56938,284.59189,5.87523,2.81646,-0.00544,0.6979028594137047,0.167775716459927,0.33732405395252285,6.515428157696162,0.16151471985289803
1,32.76022,-97.53746,270.68564,2.25023,2.12896,0.01073,0.607072537470953,0.15067865988918622,0.33897923399045793,3.0977606213844218,0.07296616274895217
1,32.76023,-97.50554,251.43564,0.25023,0.12896,-0.00274,0.55695925639909,0.10094176804703121,0.33760042909800364,0.28151952347927844,0.0
1,32.76023,-97.47361,226.87314,2.12523,-1.12104,-0.01883,0.6039404574039616,0.06985621064568433,0.33595343795326804,2.4028499335996827,0.054961679262575815
1,32.76021,-97.44169,202.62314,2.56273,-0.30854,-0.01076,0.6149027376384316,0.09006182295655982,0.3367794925547607,2.581258949059548,0.05958408934941395
1,32.76019,-97.40976,189.65439,-0.49977,1.06646,0.00798,0.5381667759971415,0.12425593609804136,0.33869774078672743,1.1777820956781437,0.023221321767338113
1,32.76016,-97.37784,188.06064,-2.24977,2.25396,-0.00272,0.4943176550592614,0.1537872156293209,0.3376024763213035,3.184620563410969,0.07521662229625016
1,32.76012,-97.34591,184.40439,-0.99977,3.44146,-0.01609,0.5256384557291758,0.18331849516060045,0.33623390754534854,3.58377536581187,0.08555834847007611
1,32.76007,-97.31399,178.06064,-0.81227,4.12896,0.0053,0.5303365758296629,0.2004155517313412,0.3384234128645465,4.208101867172419,0.10173406195591493
1,32.76001,-97.28206,177.71689,-2.49977,3.56646,-0.02144,0.48805349492527855,0.18642705090073514,0.3356862753126366,4.3553354242928295,0.10554874518702971
1,32.75994,-97.25014,191.81064,-3.06227,1.75396,-0.03755,0.4739591346238171,0.14135299266878215,0.33403723694460113,3.529204334832428,0.08414446429276404
1,32.75987,-97.21821,200.43564,-1.31227,1.56646,-0.02685,0.5178082555616972,0.13669015905858012,0.33513250141002504,2.043665923530556,0.045655558790496854
1,32.75978,-97.18629,189.56064,-0.18727,2.94146,-0.00272,0.5459969761646201,0.1708842722000617,0.3376024763213035,2.947416560803715,0.0690708892935544
1,32.75968,-97.15437,172.21689,-1.43727,2.94146,-0.0054,0.5146761754947058,0.1708842722000617,0.3373281483991226,3.273829736638728,0.07752794821833758
1,32.75958,-97.12244,190.96689,-3.68727,1.87896,-0.01079,0.4582987342888599,0.14446154840891684,0.33677642171981087,4.138425686006697,0.09992881751912103
1,32.75946,-97.09052,188.56064,-5.37477,1.31646,0.02146,0.41601565338447555,0.13047304757831074,0.3400775692908316,5.533685933995532,0.13607870056983906
1,32.75934,-97.05859,177.24814,-5.87477,1.37896,0.02682,0.4034873331165098,0.13202732544837809,0.3406262251351935,6.034498533175727,0.1490542848142739
1,32.75921,-97.02667,163.93564,-5.87477,1.87896,0.01875,0.4034873331165098,0.14446154840891684,0.3398001705337009,6.167962775260564,0.15251221802047976
1,32.75906,-96.99475,153.43564,-5.87477,2.56646,0.00801,0.4034873331165098,0.16155860497965763,0.33870081162167726,6.410905056589124,0.1588066244373193
1,32.75891,-96.96282,149.46689,-6.68727,3.75396,0.00801,0.3831288126810655,0.19108988451093714,0.33870081162167726,7.668889091296079,0.1913998096870798
1,32.75875,-96.9309,147.46689,-7.56227,4.69146,-0.05103,0.3612042522121255,0.2144040525619473,0.33265740844049696,8.89945664326761,0.22328265960980992
1,32.75858,-96.89897,168.68564,-7.62477,4.75396,-0.10759,0.3596382121786298,0.21595833043201465,0.326867860948499,8.986035212628538,0.2255258290555154
1,32.787,-97.63328,329.68564,6.06273,1.25396,-0.02983,0.7026009795141918,0.1289187697082434,0.33482746513834627,6.191122722366275,0.15311227050569823
1,32.78703,-97.60134,312.18564,6.93773,3.06646,-0.04871,0.7245255399831318,0.17399282794019638,0.33289488634328046,7.585357417327149,0.18923558244032768
1,32.78705,-97.56941,295.09189,4.62523,2.69146,-0.03786,0.6665820587437903,0.16466716071979232,0.3340055049834534,5.3514617502230175,0.13135744305398556
1,32.78707,-97.53747,260.68564,0.31273,1.19146,0.00534,0.5585252964325859,0.12736449183817605,0.33842750731114624,1.2318301425521296,0.024621655917494416
1,32.78708,-97.50554,223.62314,-0.87477,-0.24604,0.00264,0.5287705357961672,0.09161610082662716,0.3381511321656654,0.9087162395929766,0.01625007805532063
1,32.78707,-97.4736,208.12314,2.43773,-0.18354,-0.02415,0.6117706575714402,0.0931703786966945,0.3354088765555059,2.444749006953475,0.056047244915188865
1,32.78706,-97.44167,200.62314,3.75023,1.19146,0.01066,0.6446574982748503,0.12736449183817605,0.3389720687089084,3.934960688507574,0.09465723046207561
1,32.78704,-97.40973,210.43564,0.50023,2.69146,0.04017,0.563223416533073,0.16466716071979232,0.3419927466878486,2.737845980584007,0.06364111232059631
1,32.78701,-97.37779,206.40439,-1.43727,3.87896,0.01873,0.5146761754947058,0.19419844025107183,0.33979812331040105,4.136716880256612,0.09988454396649099
1,32.78697,-97.34586,185.46689,-0.37477,4.44146,0.01869,0.541298856064133,0.20818694108167793,0.33979402886380133,4.457282670035635,0.10819010260852682
1,32.78692,-97.31392,192.62314,-0.81227,4.56646,0.02673,0.5303365758296629,0.21129549682181262,0.34061701263034416,4.638216680729783,0.11287793295123086
1,32.78686,-97.28199,178.87314,-3.31227,3.81646,0.03743,0.4676949744898342,0.19264416238100449,0.3417122770957681,5.053503783455594,0.12363763188026516
1,32.78679,-97.25005,168.65439,-3.93727,2.81646,-0.00272,0.4520345741548771,0.167775716459927,0.3376024763213035,4.840924434743844,0.11812990054053513
1,32.78671,-97.21812,169.87314,-1.81227,2.06646,-0.0161,0.5052799352937315,0.14912438201911887,0.33623288393369866,2.7486066823938273,0.0639199120015371
1,32.78663,-97.18618,166.87314,-0.93727,1.31646,0.00799,0.5272044957626715,0.13047304757831074,0.33869876439837737,1.6160463559564124,0.034576337275882614
1,32.78653,-97.15425,158.96689,-3.12477,0.19146,0.01603,0.47239309459032136,0.10249604591709856,0.33952174816492026,3.130671085470334,0.07381884197461308
1,32.78642,-97.12231,164.21689,-5.43727,-0.87104,0.00264,0.41444961335097985,0.0760733221259537,0.3381511321656654,5.506598106281228,0.13537688038584
1,32.78631,-97.09037,163.74814,-5.93727,-0.74604,-4e-05,0.4019212930830141,0.0791818778660884,0.3378768042434845,5.98395778194499,0.14774482140132275
